Date,ES,VaR
2016-05-06,1170.62427877,1141.92690529
2016-05-05,1151.03207264,1120.84353964
2016-05-04,1175.14656588,1143.06385812
2016-05-03,1178.72525416,1153.0359541
2016-05-02,1197.11947686,1193.11877154
2016-04-29,1151.72940863,1119.61267984
2016-04-28,1113.76293978,1098.40482162
2016-04-27,1192.52825365,1165.58763512
2016-04-26,1181.14191701,1164.3619367
2016-04-25,1174.86201685,1134.67039259
2016-04-22,1169.69578588,1191.55721808
2016-04-21,1161.19608597,1165.58097645
2016-04-20,1143.33810166,1154.37241781
2016-04-19,1288.63753291,1317.40153983
2016-04-18,1244.61004782,1241.38567926
2016-04-15,1299.48743291,1318.409486
2016-04-14,1266.8771887,1263.30179479
2016-04-13,1253.31462823,1225.97615434
2016-04-12,1316.50475091,1335.9195936
2016-04-11,1294.1694777,1253.14283129
2016-04-08,1305.80881836,1299.50904652
2016-04-07,1269.31400623,1282.96963573
2016-04-06,1252.46271116,1267.69996176
2016-04-05,1271.55266582,1287.45150932
2016-04-04,1195.88956917,1164.97152626
2016-04-01,1267.75000901,1272.62818525
2016-03-31,1224.98211428,1204.61725757
2016-03-30,1308.33819157,1281.90960153
2016-03-29,1260.60325677,1235.45657547
2016-03-28,1232.53734804,1191.73482877
2016-03-24,1244.04853759,1238.42927841
2016-03-23,1255.30148059,1242.07490754
2016-03-22,1248.37903498,1229.0872849
2016-03-21,1240.32409696,1246.93881829
2016-03-18,1222.06505317,1191.17317177
2016-03-17,1232.101813,1223.34703863
2016-03-16,1286.04391307,1280.20207341
2016-03-15,1282.66027449,1248.32870307
2016-03-14,1300.31923643,1268.0466971
2016-03-11,1300.09135593,1320.01860616
2016-03-10,1226.82161724,1208.5680558
2016-03-09,1309.96579265,1287.84361798
2016-03-08,1233.13670922,1234.88367334
2016-03-07,1255.92056131,1261.11370485
2016-03-04,1216.94600371,1202.07968349
2016-03-03,1264.38998229,1250.66593513
2016-03-02,1261.82384266,1254.6256528
2016-03-01,1291.34075916,1252.89631998
2016-02-29,1306.00880863,1324.18924188
2016-02-26,1322.46799531,1328.55648361
2016-02-25,1258.94344104,1291.67428353
2016-02-24,1228.58796828,1222.06899069
2016-02-23,1259.17812369,1264.12209824
2016-02-22,1248.06750051,1270.76135737
2016-02-19,1237.80779266,1249.32126433
2016-02-18,1276.02142169,1264.29030797
2016-02-17,1291.17964313,1289.63677102
2016-02-16,1207.67815663,1196.48298898
2016-02-12,1235.79535995,1240.83061709
2016-02-11,1228.65408829,1255.79491794
2016-02-10,1265.3485643,1243.30698995
2016-02-09,1289.62895701,1281.07553244
2016-02-08,1321.09427843,1339.8752531
2016-02-05,1286.2644193,1246.11447381
2016-02-04,1298.18828298,1287.17533869
2016-02-03,1207.52969342,1230.4545165
2016-02-02,1263.68058776,1253.99856913
2016-02-01,1188.73633488,1190.71632034
2016-01-29,1246.16344519,1219.89237283
2016-01-28,1252.69301407,1249.6452523
2016-01-27,1223.45195389,1227.01593417
2016-01-26,1287.08959436,1293.34720312
2016-01-25,1312.98763037,1303.21914573
2016-01-22,1255.47585543,1278.18867263
2016-01-21,1222.34194493,1202.3221027
2016-01-20,1242.74658363,1224.742682
2016-01-19,1217.62511328,1236.06720246
2016-01-15,1295.75871171,1254.40403541
2016-01-14,1313.01940541,1305.31133805
2016-01-13,1298.15452113,1313.59993044
2016-01-12,1331.00178771,1308.27300252
2016-01-11,1332.33068359,1306.84371528
2016-01-08,1312.63865161,1313.88748057
2016-01-07,1326.42584394,1308.51971794
2016-01-06,1340.25619038,1319.7921538
2016-01-05,1307.82070381,1314.386815
2016-01-04,1346.33359657,1337.53611223
2015-12-31,1260.96608403,1265.83723854
2015-12-30,1372.53494213,1335.51505286
2015-12-29,1324.44846745,1321.68382452
2015-12-28,1322.04959152,1305.36170347
2015-12-24,1288.6240826,1286.81329317
2015-12-23,1315.23700775,1320.43473308
2015-12-22,1321.44971219,1331.33712343
2015-12-21,1302.06481714,1279.38497819
2015-12-18,1436.95681556,1452.96718221
2015-12-17,1339.57110636,1294.58249504
2015-12-16,1341.64414159,1344.10687623
2015-12-15,1299.59205358,1296.71232267
2015-12-14,1331.27711149,1325.93124095
2015-12-11,1371.04377434,1335.76860327
2015-12-10,1306.0412315,1269.66152084
2015-12-09,1305.84891202,1281.44644963
2015-12-08,1325.7876937,1321.51854273
2015-12-07,1406.59184519,1382.18451832
2015-12-04,1325.40311613,1314.63227141
2015-12-03,1322.61849682,1328.71700669
2015-12-02,1311.72428385,1290.77448885
2015-12-01,1310.08105666,1302.2187802
2015-11-30,1309.79902391,1324.04663815
2015-11-27,1291.96503889,1297.5593554
2015-11-25,1319.55925733,1282.01445943
2015-11-24,1338.56712779,1331.49965759
2015-11-23,1280.85627946,1273.3808922
2015-11-20,1332.18978575,1322.17347199
2015-11-19,1351.7771299,1368.18199004
2015-11-18,1338.1137759,1306.31305744
2015-11-17,1403.83718251,1420.93906256
2015-11-16,1279.86850037,1260.27722198
2015-11-13,1326.90661992,1304.12964442
2015-11-12,1287.41547359,1308.66140992
2015-11-11,1318.21511788,1290.65345662
2015-11-10,1275.82638057,1234.80358484
2015-11-09,1368.04210278,1363.123996
2015-11-06,1322.89307618,1314.29567196
2015-11-05,1376.89876903,1379.53384062
2015-11-04,1322.08032941,1288.51733814
2015-11-03,1299.62647286,1316.88927053
2015-11-02,1288.07523475,1258.47228076
2015-10-30,1281.03578143,1274.01426047
2015-10-29,1302.46079617,1309.97749947
2015-10-28,1355.62304575,1342.29001734
2015-10-27,1326.34247673,1311.17115654
2015-10-26,1379.8813528,1362.93567981
2015-10-23,1354.71345322,1350.12803966
2015-10-22,1342.17649155,1356.10567323
2015-10-21,1328.22186753,1340.57219458
2015-10-20,1311.43770709,1307.96515042
2015-10-19,1325.5563172,1340.21590232
2015-10-16,1330.48770198,1293.46890428
2015-10-15,1285.30500019,1281.7562928
2015-10-14,1299.00665684,1261.77043898
2015-10-13,1344.84814736,1353.58597796
2015-10-12,1374.9098944,1386.44954586
2015-10-09,1379.39281588,1363.22767916
2015-10-08,1331.12064642,1321.19531682
2015-10-07,1388.98523514,1381.3486821
2015-10-06,1345.42959661,1328.83878385
2015-10-05,1406.51377231,1418.18740499
2015-10-02,1337.59857047,1361.53702345
2015-10-01,1390.38769798,1392.28821469
2015-09-30,1355.10082063,1338.01852266
2015-09-29,1380.19346409,1433.59214399
2015-09-28,1305.43020938,1298.67765938
2015-09-25,1363.65696952,1340.60660112
2015-09-24,1347.75424735,1311.69661719
2015-09-23,1466.16906812,1463.59779861
2015-09-22,1392.450271,1394.20036328
2015-09-21,1340.6569707,1324.04720083
2015-09-18,1445.30853032,1444.06545117
2015-09-17,1332.61172847,1334.50927359
2015-09-16,1351.49065819,1366.15671698
2015-09-15,1359.56474333,1339.85942191
2015-09-14,1375.31999375,1367.91206557
2015-09-11,1430.99977339,1417.79613795
2015-09-10,1352.11294866,1379.38837331
2015-09-09,1442.34346605,1467.78733218
2015-09-08,1398.78038986,1424.40573721
2015-09-04,1337.14288015,1339.36132741
2015-09-03,1383.71667453,1361.09278275
2015-09-02,1395.09213773,1350.95125651
2015-09-01,1362.73215713,1373.55974804
2015-08-31,1359.32616919,1360.0783998
2015-08-28,1395.52278158,1404.91988671
2015-08-27,1398.71532852,1384.24084911
2015-08-26,1383.89633508,1360.70811493
2015-08-25,1410.66012733,1387.76177153
2015-08-24,1340.20578531,1336.99820897
2015-08-21,1371.46633374,1415.94335198
2015-08-20,1390.90800862,1363.71706228
2015-08-19,1439.95335874,1428.35259448
2015-08-18,1362.01846296,1345.98825991
2015-08-17,1310.81900407,1337.0691784
2015-08-14,1360.4341961,1348.44128721
2015-08-13,1333.75677539,1335.88270464
2015-08-12,1352.48982236,1343.07797138
2015-08-11,1398.65823755,1354.86912538
2015-08-10,1416.98725538,1380.77453276
2015-08-07,1429.38439529,1392.42075689
2015-08-06,1406.04553268,1405.10770225
2015-08-05,1446.4938005,1433.13972882
2015-08-04,1369.74487472,1375.09060666
2015-08-03,1412.83163369,1434.90425249
2015-07-31,1381.77725683,1390.92941067
2015-07-30,1368.86312169,1372.1548732
2015-07-29,1351.67431321,1339.0315599
2015-07-28,1429.78029866,1420.24663895
2015-07-27,1425.83969835,1413.18345826
2015-07-24,1383.19213231,1390.8342841
2015-07-23,1352.61886826,1342.41144261
2015-07-22,1398.00253477,1389.34560049
2015-07-21,1349.55247805,1315.9294424
2015-07-20,1381.2909919,1369.04304739
2015-07-17,1404.53174678,1384.84130574
2015-07-16,1395.8260556,1372.73667071
2015-07-15,1362.29083693,1325.88727617
2015-07-14,1381.28017519,1386.22838243
2015-07-13,1348.08473066,1304.2843059
2015-07-10,1341.70395596,1334.69249706
2015-07-09,1381.31231275,1376.52966537
2015-07-08,1341.95393248,1359.25628804
2015-07-07,1375.96036437,1386.87479913
2015-07-06,1344.02553657,1353.59350807
2015-07-02,1414.83250217,1400.55607945
2015-07-01,1302.13141202,1299.9543947
2015-06-30,1393.94555952,1368.53637484
2015-06-29,1323.33733451,1318.70289521
2015-06-26,1405.36787576,1435.35911194
2015-06-25,1375.08663685,1343.59332874
2015-06-24,1390.79970108,1366.11524334
2015-06-23,1365.79135749,1372.79622667
2015-06-22,1327.0698304,1304.50636741
2015-06-19,1350.96477341,1343.78105477
2015-06-18,1353.44245589,1349.37280831
2015-06-17,1335.8502664,1329.3025863
2015-06-16,1358.7868431,1359.75370291
2015-06-15,1391.27897182,1363.16396322
2015-06-12,1392.79610637,1381.57126731
2015-06-11,1336.32284573,1317.62418369
2015-06-10,1389.82579258,1401.78483305
2015-06-09,1347.36014175,1344.894919
2015-06-08,1360.51304947,1337.90055683
2015-06-05,1363.26376972,1359.7814837
2015-06-04,1372.85330385,1376.60045412
2015-06-03,1429.1064082,1406.45927357
2015-06-02,1380.10995206,1384.69805111
2015-06-01,1411.63390014,1400.28269336
2015-05-29,1316.72379822,1270.60479031
2015-05-28,1385.93892006,1408.55198968
2015-05-27,1377.90211946,1366.73216951
2015-05-26,1379.58094906,1383.02298143
2015-05-22,1373.97896704,1354.13861232
2015-05-21,1429.24241206,1428.43958858
2015-05-20,1406.27011504,1417.79974325
2015-05-19,1383.05332763,1385.60868978
2015-05-18,1409.76499659,1369.75800221
2015-05-15,1377.50828983,1385.64725222
2015-05-14,1389.69263655,1358.00972964
2015-05-13,1398.14296998,1407.22629564
2015-05-12,1404.34338667,1382.45657099
2015-05-11,1336.56010322,1336.7189305
2015-05-08,1397.22092111,1382.41582371
