Date,ES,VaR
2015-07-24,1425.03084801,1420.77646815
2015-07-23,1426.00040336,1421.74747925
2015-07-22,1433.82222655,1429.57210604
2015-07-21,1435.60260664,1431.35581901
2015-07-20,1433.32369944,1429.07723461
2015-07-17,1433.65309277,1429.40644875
2015-07-16,1435.1852825,1430.93849143
2015-07-15,1438.66895883,1434.4245692
2015-07-14,1440.78594794,1436.54115478
2015-07-13,1439.60721479,1435.3554501
2015-07-10,1437.93205484,1433.67978098
2015-07-09,1433.82807782,1429.57074586
2015-07-08,1433.51819371,1429.26747851
2015-07-07,1437.70608735,1433.46297398
2015-07-06,1436.96459036,1432.72146762
2015-07-02,1436.99411752,1432.74915631
2015-07-01,1439.90631822,1435.66132231
2015-06-30,1445.56380669,1441.30169349
2015-06-29,1444.15816759,1439.89595236
2015-06-26,1447.03127774,1442.77105371
2015-06-25,1451.75362535,1447.49305335
2015-06-24,1452.50094714,1448.24063197
2015-06-23,1455.94088188,1451.68108512
2015-06-22,1455.4559592,1451.1962661
2015-06-19,1453.55807722,1449.29738171
2015-06-18,1454.98672396,1450.72612301
2015-06-17,1453.58267613,1449.32198247
2015-06-16,1453.55681511,1449.29154543
2015-06-15,1451.65723761,1447.38512001
2015-06-12,1456.56287355,1452.29058398
2015-06-11,1458.18279442,1453.9105761
2015-06-10,1458.55047079,1454.2790557
2015-06-09,1456.3895013,1452.11654374
2015-06-08,1459.56623634,1455.29355195
2015-06-05,1456.12269115,1451.85105371
2015-06-04,1456.93673759,1452.66493367
2015-06-03,1455.30899501,1451.03799545
2015-06-02,1459.84771703,1455.57676256
2015-06-01,1459.72165332,1455.45052661
2015-05-29,1459.45685277,1455.18570507
2015-05-28,1458.71496819,1454.44338828
2015-05-27,1466.44541581,1462.17119831
2015-05-26,1465.61689231,1461.33923451
2015-05-22,1468.47602962,1464.19962266
2015-05-21,1462.38092151,1458.10378177
2015-05-20,1450.13607269,1445.86389116
2015-05-19,1444.09696447,1439.82289132
2015-05-18,1445.17396985,1440.89923693
2015-05-15,1443.72369943,1439.44842516
2015-05-14,1441.52968299,1437.25203353
2015-05-13,1448.80376564,1444.5266738
2015-05-12,1449.09178564,1444.81534639
2015-05-11,1454.81361791,1450.53538722
2015-05-08,1453.03833512,1448.75828213
2015-05-07,1452.99303674,1448.71419066
2015-05-06,1453.08733352,1448.80946919
2015-05-05,1456.88742182,1452.61137698
2015-05-04,1446.24919242,1441.97565238
2015-05-01,1449.84923851,1445.57548225
2015-04-30,1442.16623544,1437.89122874
2015-04-29,1444.66751965,1440.39643107
2015-04-28,1443.78993926,1439.51651108
2015-04-27,1442.92786398,1438.65373234
2015-04-24,1444.21643731,1439.9450241
2015-04-23,1444.62159104,1440.34393154
2015-04-22,1444.72335404,1440.44048597
2015-04-21,1450.63555747,1446.35306451
2015-04-20,1435.63192631,1431.35805045
2015-04-17,1434.79222206,1430.51791189
2015-04-16,1438.79800003,1434.52561131
2015-04-15,1439.91694065,1435.64402071
2015-04-14,1440.39262885,1436.11336539
2015-04-13,1448.84502702,1444.54437656
2015-04-10,1446.33679313,1442.03400699
2015-04-09,1448.43930762,1444.13935626
2015-04-08,1450.35097525,1446.05248429
2015-04-07,1449.22607494,1444.92521509
2015-04-06,1448.20070902,1443.89163016
2015-04-02,1446.60610676,1442.29715035
2015-04-01,1449.06622411,1444.75710556
2015-03-31,1446.28754286,1441.97688179
2015-03-30,1444.15796021,1439.84685679
2015-03-27,1442.65672842,1438.34535059
2015-03-26,1442.73478044,1438.42362735
2015-03-25,1441.56806381,1437.25677801
2015-03-24,1441.29756743,1436.98445353
2015-03-23,1443.05574109,1438.74385859
2015-03-20,1442.23938657,1437.92665726
2015-03-19,1442.46483289,1438.15224192
2015-03-18,1442.18337894,1437.87060505
2015-03-17,1441.14597617,1436.83260061
2015-03-16,1442.64177956,1438.32898062
2015-03-13,1441.87309397,1437.55977406
2015-03-12,1437.77924143,1433.46627213
2015-03-11,1438.65549855,1434.34465568
2015-03-10,1438.72624175,1434.4154238
2015-03-09,1438.7444182,1434.43361756
2015-03-06,1438.43459991,1434.12298567
2015-03-05,1440.59326154,1436.28375082
2015-03-04,1440.17874081,1435.86777099
2015-03-03,1441.16690681,1436.86104643
2015-03-02,1443.95998916,1439.65336694
2015-02-27,1442.20072955,1437.89315608
2015-02-26,1442.51225609,1438.20506429
2015-02-25,1442.72137858,1438.4153932
2015-02-24,1443.10575755,1438.80004609
2015-02-23,1439.64563619,1435.34071581
2015-02-20,1440.60484894,1436.3043439
2015-02-19,1437.34521825,1433.04467145
2015-02-18,1436.29838695,1431.99810308
2015-02-17,1432.66404456,1428.36145235
2015-02-13,1432.68714118,1428.38458605
2015-02-12,1435.62075889,1431.31820781
2015-02-11,1437.18155408,1432.87865214
2015-02-10,1439.47892064,1435.18052599
2015-02-09,1436.87637395,1432.57831121
2015-02-06,1434.96049533,1430.66210202
2015-02-05,1433.15467333,1428.85604489
2015-02-04,1433.53469027,1429.23627592
2015-02-03,1433.95131246,1429.65320192
2015-02-02,1431.20201313,1426.90330847
2015-01-30,1431.38741529,1427.08871047
2015-01-29,1432.69628305,1428.39761244
2015-01-28,1432.81227832,1428.51486654
2015-01-27,1440.52815761,1436.20189573
2015-01-26,1446.55652232,1442.22868017
2015-01-23,1445.20761348,1440.8780417
2015-01-22,1445.5849683,1441.25005048
2015-01-21,1445.7020435,1441.36862119
2015-01-20,1446.97665999,1442.63518144
2015-01-16,1448.7606489,1444.41897714
2015-01-15,1446.83896925,1442.50980457
2015-01-14,1451.41244617,1447.08281055
2015-01-13,1450.55124993,1446.21778103
2015-01-12,1449.23231232,1444.89855754
2015-01-09,1450.19036825,1445.8570888
2015-01-08,1449.16599657,1444.82846865
2015-01-07,1450.15838866,1445.82861465
2015-01-06,1449.53387802,1445.20358168
2015-01-05,1449.52984778,1445.19954219
2015-01-02,1451.75797353,1447.42939981
2014-12-31,1451.82689778,1447.49832137
2014-12-30,1450.2303551,1445.89945214
2014-12-29,1449.91859566,1445.58758068
2014-12-26,1456.59983733,1452.26833195
2014-12-24,1457.02507865,1452.69915573
2014-12-23,1461.28446199,1456.95940528
2014-12-22,1459.77543893,1455.44955621
2014-12-19,1459.72442257,1455.39605903
2014-12-18,1461.9119719,1457.58442899
2014-12-17,1462.7970066,1458.4698129
2014-12-16,1462.10716612,1457.7798517
2014-12-15,1462.04318611,1457.71412409
2014-12-12,1460.09076899,1455.76240537
2014-12-11,1461.90417786,1457.58140353
2014-12-10,1465.22080204,1460.89867675
2014-12-09,1463.66488395,1459.34230699
2014-12-08,1469.71022855,1465.38562566
2014-12-05,1472.75672373,1468.43324751
2014-12-04,1472.23422867,1467.91077914
2014-12-03,1471.1178102,1466.79237101
2014-12-02,1472.03257998,1467.70860466
2014-12-01,1472.09962717,1467.77577793
2014-11-28,1473.44946336,1469.12535756
2014-11-26,1477.39379103,1473.06983699
2014-11-25,1475.63157305,1471.30666987
2014-11-24,1475.57351526,1471.24844472
2014-11-21,1475.36789681,1471.04256566
2014-11-20,1477.56751823,1473.2420065
2014-11-19,1479.2978001,1474.97229557
2014-11-18,1478.93423957,1474.60831029
2014-11-17,1478.05479726,1473.72830729
2014-11-14,1476.73901777,1472.41235558
2014-11-13,1472.88803923,1468.55672142
2014-11-12,1476.22963321,1471.90194549
2014-11-11,1477.08995952,1472.76413837
2014-11-10,1477.72734832,1473.39725631
2014-11-07,1480.39035343,1476.06178414
2014-11-06,1479.16835176,1474.83959804
2014-11-05,1477.42389852,1473.09446633
2014-11-04,1477.5436755,1473.21438278
2014-11-03,1477.24326404,1472.91371428
2014-10-31,1475.70434581,1471.3744848
2014-10-30,1476.02246827,1471.6932619
2014-10-29,1474.26331987,1469.93433945
2014-10-28,1476.9505285,1472.62310587
2014-10-27,1476.68650325,1472.36153394
2014-10-24,1476.75320459,1472.42823753
2014-10-23,1480.26297177,1475.92624303
2014-10-22,1483.52393887,1479.19026929
2014-10-21,1477.72338615,1473.38243575
2014-10-20,1479.98168265,1475.63340938
2014-10-17,1484.88772842,1480.54130295
2014-10-16,1471.26832241,1466.92804044
2014-10-15,1470.79770826,1466.45738211
2014-10-14,1470.37539253,1466.03457918
2014-10-13,1469.82977335,1465.48824863
2014-10-10,1469.4190226,1465.07720523
2014-10-09,1482.62725217,1478.27978967
2014-10-08,1484.06120873,1479.71450966
2014-10-07,1486.41482018,1482.06924991
2014-10-06,1487.26338549,1482.91787072
2014-10-03,1491.71017166,1487.36396235
2014-10-02,1490.48936384,1486.14236022
2014-10-01,1491.19135895,1486.84665405
2014-09-30,1488.98915182,1484.64378224
2014-09-29,1489.18904459,1484.84373466
2014-09-26,1487.33534661,1482.98597942
2014-09-25,1485.3437674,1480.99505461
2014-09-24,1484.00018309,1479.65115
2014-09-23,1483.93392982,1479.58482428
2014-09-22,1480.60242785,1476.24938056
2014-09-19,1478.29625105,1473.94007194
2014-09-18,1475.71072019,1471.35415461
2014-09-17,1473.73292778,1469.3759243
2014-09-16,1476.78739179,1472.43181516
2014-09-15,1478.72953348,1474.37581885
2014-09-12,1477.82550371,1473.47080483
2014-09-11,1479.71786781,1475.36358924
2014-09-10,1482.88045034,1478.52544151
2014-09-09,1482.13407902,1477.77893379
2014-09-08,1484.85635905,1480.50313837
2014-09-05,1484.4235359,1480.07044692
2014-09-04,1486.9366395,1482.58408075
2014-09-03,1486.81499376,1482.46075129
2014-09-02,1486.50477809,1482.15010722
2014-08-29,1487.00324518,1482.64895493
2014-08-28,1486.54376927,1482.18913829
2014-08-27,1488.97752973,1484.62556032
2014-08-26,1494.31824505,1489.96606372
2014-08-25,1493.16752386,1488.81229204
2014-08-22,1492.98440878,1488.62903557
2014-08-21,1492.47400556,1488.11854497
2014-08-20,1498.0460344,1493.69111842
2014-08-19,1514.74458016,1510.38225105
2014-08-18,1511.86195824,1507.49940033
2014-08-15,1510.23253758,1505.86925039
